Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
CPB2	CPU, PCPB, TAFI	ENSG00000080618	Carboxypeptidase B2	Q96IY4	Enzymes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPN1		ENSG00000120054	Carboxypeptidase N subunit 1	P15169	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CPN2	ACBP	ENSG00000178772	Carboxypeptidase N subunit 2	P22792	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPQ	LDP, PGCP	ENSG00000104324	Carboxypeptidase Q	Q9Y646	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CPXM1	CPX-1, CPX1, CPXM	ENSG00000088882	Carboxypeptidase X, M14 family member 1	Q96SM3	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CPXM2	CPX2, UNQ676	ENSG00000121898	Carboxypeptidase X, M14 family member 2	Q8N436	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CREG1	CREG	ENSG00000143162	Cellular repressor of E1A stimulated genes 1	O75629	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CREG2		ENSG00000175874	Cellular repressor of E1A stimulated genes 2	Q8IUH2	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRELD2	MGC11256	ENSG00000184164	Cysteine rich with EGF like domains 2	Q6UXH1	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRH	CRF, CRH1	ENSG00000147571	Corticotropin releasing hormone	P06850	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CRHBP	CRF-BP, CRFBP	ENSG00000145708	Corticotropin releasing hormone binding protein	P24387	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRHR2	CRF-RB, CRF2, HM-CRF	ENSG00000106113	Corticotropin releasing hormone receptor 2	Q13324	G-protein coupled receptors, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CRISP1	AEGL1, ARP, CRISP-1, HSCRISP1D, HSCRISP1G, HUMARP	ENSG00000124812	Cysteine rich secretory protein 1	P54107	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRISP2	CRISP-2, CT36, GAPDL5, TPX1	ENSG00000124490	Cysteine rich secretory protein 2	P16562	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRISP3	Aeg2, CRISP-3, CRS3, dJ442L6.3, SGP28	ENSG00000096006	Cysteine rich secretory protein 3	P54108	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRISPLD1	Cocoacrisp, DKFZp762F133, LCRISP1	ENSG00000121005	Cysteine rich secretory protein LCCL domain containing 1	Q9H336	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CRISPLD2	DKFZP434B044, LCRISP2, LGL1	ENSG00000103196	Cysteine rich secretory protein LCCL domain containing 2	Q9H0B8	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CRLF1	CISS, CISS1, CLF, CLF-1	ENSG00000006016	Cytokine receptor like factor 1	O75462	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRP	PTX1	ENSG00000132693	C-reactive protein	P02741	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRTAC1	ASPIC1, CEP-68, FLJ10320	ENSG00000095713	Cartilage acidic protein 1	Q9NQ79	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CRTAP	CASP, LEPREL3, P3H5	ENSG00000170275	Cartilage associated protein	O75718	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CSF2	GM-CSF, GMCSF	ENSG00000164400	Colony stimulating factor 2	P04141	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CSF2RA	alphaGMR, CD116, CSF2R	ENSG00000198223	Colony stimulating factor 2 receptor alpha subunit	P15509	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CSF3	C17orf33, G-CSF, GCSF, MGC45931	ENSG00000108342	Colony stimulating factor 3	P09919	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CSH1	CSA, CSMT, FLJ75407, hCS-A, PL	ENSG00000136488	Chorionic somatomammotropin hormone 1	P0DML2	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CSH2	CS-2, CSB, hCS-B	ENSG00000213218	Chorionic somatomammotropin hormone 2	P0DML3	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CSHL1	CS-5, CSHP1, CSL, hCS-L, MGC149868	ENSG00000204414	Chorionic somatomammotropin hormone like 1	Q14406	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CSN1S1	CASA, CSN1	ENSG00000126545	Casein alpha s1	P47710	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CSN2	CASB	ENSG00000135222	Casein beta	P05814	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CSN3	CSN10	ENSG00000171209	Casein kappa	P07498	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST1		ENSG00000170373	Cystatin SN	P01037	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST11	CST8L, CTES2, dJ322G13.6	ENSG00000125831	Cystatin 11	Q9H112	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST2		ENSG00000170369	Cystatin SA	P09228	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST3		ENSG00000101439	Cystatin C	P01034	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST4		ENSG00000101441	Cystatin S	P01036	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST5		ENSG00000170367	Cystatin D	P28325	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST7		ENSG00000077984	Cystatin F	O76096	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CST8	CRES, CTES5	ENSG00000125815	Cystatin 8	O60676	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CST9	CLM, CTES7A	ENSG00000173335	Cystatin 9	Q5W186	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CST9L	bA218C14.1, CTES7B	ENSG00000101435	Cystatin 9 like	Q9H4G1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CSTL1	CTES1, dJ322G13.4	ENSG00000125823	Cystatin like 1	Q9H114	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
CT55	CXorf48, FLJ20527	ENSG00000169551	Cancer/testis antigen 55	Q8WUE5	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CTF1	CT-1, CT1	ENSG00000150281	Cardiotrophin 1	Q16619	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CTGF	CCN2, IGFBP8	ENSG00000118523	Connective tissue growth factor	P29279	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CTHRC1		ENSG00000164932	Collagen triple helix repeat containing 1	Q96CG8	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CTRB1	CTRB	ENSG00000168925	Chymotrypsinogen B1	P17538	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CTRB2		ENSG00000168928	Chymotrypsinogen B2	Q6GPI1	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CTRC	CLCR, ELA4	ENSG00000162438	Chymotrypsin C	Q99895	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CTRL		ENSG00000141086	Chymotrypsin like	P40313	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
CTSB		ENSG00000164733	Cathepsin B	P07858	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CTSD	CLN10, CPSD	ENSG00000117984	Cathepsin D	P07339	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CTSW		ENSG00000172543	Cathepsin W	P56202	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CXCL1	FSP, GRO1, GROa, MGSA, MGSA-a, NAP-3, SCYB1	ENSG00000163739	C-X-C motif chemokine ligand 1	P09341	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL10	C7, crg-2, gIP-10, IFI10, INP10, IP-10, mob-1, SCYB10	ENSG00000169245	C-X-C motif chemokine ligand 10	P02778	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL11	b-R1, H174, I-TAC, IP-9, SCYB11, SCYB9B	ENSG00000169248	C-X-C motif chemokine ligand 11	O14625	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL12	PBSF, SCYB12, SDF-1a, SDF-1b, SDF1, SDF1A, SDF1B, TLSF-a, TLSF-b, TPAR1	ENSG00000107562	C-X-C motif chemokine ligand 12	P48061	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL13	ANGIE, ANGIE2, BCA-1, BLC, BLR1L, SCYB13	ENSG00000156234	C-X-C motif chemokine ligand 13	O43927	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL14	BMAC, bolekine, BRAK, Kec, KS1, MIP-2g, NJAC, SCYB14	ENSG00000145824	C-X-C motif chemokine ligand 14	O95715	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL16	CXCLG16, SR-PSOX, SRPSOX	ENSG00000161921	C-X-C motif chemokine ligand 16	Q9H2A7	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
CXCL17	Dcip1, DMC, UNQ473, VCC1	ENSG00000189377	C-X-C motif chemokine ligand 17	Q6UXB2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL2	CINC-2a, GRO2, GROb, MGSA-b, MIP-2a, SCYB2	ENSG00000081041	C-X-C motif chemokine ligand 2	P19875	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL3	CINC-2b, GRO3, GROg, MIP-2b, SCYB3	ENSG00000163734	C-X-C motif chemokine ligand 3	P19876	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL5	ENA-78, SCYB5	ENSG00000163735	C-X-C motif chemokine ligand 5	P42830	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL6	CKA-3, GCP-2, SCYB6	ENSG00000124875	C-X-C motif chemokine ligand 6	P80162	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
CXCL8	3-10C, AMCF-I, b-ENAP, GCP-1, GCP1, IL-8, IL8, K60, LECT, LUCT, LYNAP, MDNCF, MONAP, NAF, NAP-1, NAP1, SCYB8, TSG-1	ENSG00000169429	C-X-C motif chemokine ligand 8	P10145	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
CXCL9	CMK, crg-10, Humig, MIG, SCYB9	ENSG00000138755	C-X-C motif chemokine ligand 9	Q07325	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
